best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient,random_wordvec
43.619,78.69,52.297,80.24,49.942,80.24,0.001,1e-08,0.5,300,16,-1,1,1e-05,False
41.827,77.663,49.85,79.055,47.938,79.055,0.001,1e-08,0.07,300,16,-1,1,0.0001,False
41.47,77.695,49.369,78.885,49.369,78.885,0.001,1e-08,0.1,300,16,-1,1,0.0001,False
42.804,76.531,49.934,78.225,49.726,78.171,0.001,1e-08,0.07,300,16,-1,3,0.0001,False
41.493,76.257,49.119,78.848,46.575,78.848,0.001,1e-08,0.07,300,16,-1,2,0.0001,False
41.685,0.0,48.063,78.968,47.598,78.968,0.001,1e-08,0.1,300,16,-1,2,0.0001,False
39.94,77.543,49.535,78.795,47.395,78.795,0.001,1e-08,0.14,300,16,-1,1,0.0001,False
40.81,77.104,50.086,78.994,47.681,78.994,0.001,1e-08,0.14,300,16,-1,2,0.0001,False
42.646,76.965,50.116,78.683,49.424,78.683,0.001,1e-08,0.1,300,16,-1,3,0.0001,False
41.097,76.931,49.315,78.891,47.441,78.849,0.001,1e-08,0.14,300,16,-1,3,0.0001,False
41.082,78.652,49.687,79.146,48.075,79.146,0.001,1e-08,0.2,300,16,-1,2,0.0001,False
42.441,78.463,49.723,78.974,49.625,78.701,0.001,1e-08,0.2,300,16,-1,3,0.0001,False
42.825,0.0,48.843,79.049,48.204,79.049,0.001,1e-08,0.2,300,16,-1,1,0.0001,False
43.636,78.895,50.789,79.659,49.832,79.548,0.001,1e-08,0.3,300,16,-1,1,0.0001,False
46.739,79.028,50.591,80.112,47.572,80.112,0.001,1e-08,0.4,300,16,-1,1,0.0001,False
43.125,76.355,48.739,79.451,47.562,79.308,0.001,1e-08,0.3,300,16,-1,3,0.0001,False
45.461,78.904,50.289,79.487,48.914,79.465,0.001,1e-08,0.3,300,16,-1,2,0.0001,False
44.217,78.602,49.745,79.549,49.745,79.43,0.001,1e-08,0.4,300,16,-1,2,0.0001,False
43.022,0.0,50.689,80.105,47.786,80.07,0.001,1e-08,0.5,300,16,-1,1,0.0001,False
42.831,78.83,53.309,79.741,50.701,79.655,0.001,1e-08,0.5,300,16,-1,2,0.0001,False
