best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient
63.849,68.082,54.809,61.022,54.809,59.239,0.001,1e-08,0.5,200,16,-1,4,3
66.627,68.408,56.625,61.151,56.625,60.573,0.001,1e-08,0.1,200,16,-1,3,4
61.33,70.626,55.124,61.961,53.817,58.319,0.001,1e-08,0.5,200,16,-1,2,4
66.275,68.079,56.783,61.099,56.783,59.487,0.001,1e-08,0.1,200,16,-1,2,4
67.376,71.971,55.958,60.708,55.669,58.789,0.001,1e-08,0.2,200,16,-1,1,4
62.021,74.136,55.677,60.829,55.677,56.253,0.001,1e-08,0.5,200,16,-1,5,4
68.333,70.4,56.498,60.756,56.498,56.648,0.001,1e-08,0.1,200,16,-1,5,4
66.775,52.177,56.8,60.553,56.8,58.519,0.001,1e-08,0.2,200,16,-1,4,4
67.296,66.219,56.811,60.614,56.61,60.297,0.001,1e-08,0.1,200,16,-1,3,5
66.26,71.732,56.311,60.863,54.845,58.674,0.001,1e-08,0.2,200,16,-1,3,4
67.221,74.232,55.337,61.693,55.16,57.171,0.001,1e-08,0.3,200,16,-1,2,4
65.724,67.051,57.046,60.978,55.905,60.58,0.001,1e-08,0.2,200,16,-1,1,5
64.333,65.342,56.764,60.625,56.764,59.014,0.001,1e-08,0.3,200,16,-1,1,4
68.209,70.959,56.236,61.456,56.236,58.117,0.001,1e-08,0.2,200,16,-1,4,5
70.01,68.998,55.914,62.012,55.914,57.893,0.001,1e-08,0.3,200,16,-1,5,4
69.149,72.407,56.822,61.445,55.775,56.209,0.001,1e-08,0.3,200,16,-1,4,4
66.068,69.847,55.282,62.476,55.282,59.937,0.001,1e-08,0.3,200,16,-1,2,5
67.174,73.238,55.434,61.031,55.365,56.515,0.001,1e-08,0.4,200,16,-1,3,4
64.0,72.51,55.926,62.441,55.926,58.522,0.001,1e-08,0.4,200,16,-1,2,4
